Item,Amount #,CAD Cost ($) ,Usage:,Link,Notes:
"Miscellaneous Nuts, Bolts, Screws and Bearings",,,,,
Bearings,10,$13.99,Bearings for all the scissor lift joints!,https://www.amazon.ca/Pcs-608-2RS-Ball-Bearings-Pre-Lubricated/dp/B0GVV2QJ5G/ref=sr_1_30?dib=eyJ2IjoiMSJ9.bP8-OMx46xwsVxeHWXNH7ppvRKcphSEU7BnqQ_yH2Mr8jauKV4wi92AO_Tuz94t6UDvZk1iFzmgBGWci5j4QB1FKBmWIxQP-OFXUhgfy2SnRX2GdOJmTHJRHkoWSOtbGRP0346dB7nTi9kgZQpt1RQ7PB9RlFSSuHfHsvf-wCFoRQ4TSh49Ks8UKvdJ3qHbZfSgcDJ0b6dv2coam_Gt6G2pSvTI-E5DVDRNfPCeB6pVUnZBXpDyxShTIKJF2j6Jp7JEoDc6dLcZgK5bQbuFYgAb2xj30aQMz1ryvi581BB8.N2guYyRI8Z76ur9baEFRjHefHhh6baNMc3cs8F1_MY0&dib_tag=se&keywords=608+Bearings&qid=1778297990&sr=8-30,
"D8 M6, 16mm Shoulder Bolts",8,$6.34,Shoulder bolts to hold the scissor bearings,https://www.aliexpress.com/item/1005009104127830.html?spm=a2g0o.productlist.main.3.45445dcd95XNjO&algo_pvid=ef50ccbf-f38e-4939-94c3-d8a85552b7bc&algo_exp_id=ef50ccbf-f38e-4939-94c3-d8a85552b7bc-2&pdp_ext_f=%7B%22order%22%3A%22694%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.65%211.59%21%21%2112.91%217.75%21%402101e62517783451864455378e5ba1%2112000047926264794%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=jj2cmFYo2cBi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009104127830%7C_p_origin_prod%3A,
M3x22mm + 6mm Male to Female Standoff,4,$5.82,These are the special standoffs for spacing the bed from the base of the printer,https://www.aliexpress.com/item/1005004553969515.html?spm=a2g0o.detail.0.0.59622osE2osEHg&productId=1005004553969515&pdp_ext_f=%7B%22tabScene%22%3A%22retail%22%2C%22sku_id%22%3A12000029592394910%2C%22origProductId%22%3A%221005004553969515%22%7D,
M3 Nuts,100,$3.28,These are for if I need to lock any of the M3 bolts,https://www.aliexpress.com/item/1005008625622586.html?spm=a2g0o.productlist.main.62.12a02cd3vOdyac&aem_p4p_detail=20260512144354284891723407200002944729&algo_pvid=39a76e6a-ca73-4e43-bbe7-9ca5b148417c&algo_exp_id=39a76e6a-ca73-4e43-bbe7-9ca5b148417c-59&pdp_ext_f=%7B%22order%22%3A%22756%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.23%211.11%21%21%215.95%215.35%21%402101e80f17786222348783484e211d%2112000046005784104%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3Abed990a3%3Bm03_new_user%3A-29895&curPageLogUid=QGnkjvTtCtBt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008625622586%7C_p_origin_prod%3A&search_p4p_id=20260512144354284891723407200002944729_16,
"M8x12mm, 0.5mm Steel Shims",?,$4.99,Steels shims to space out the shoulder bolts from other parts,https://www.aliexpress.com/item/1005001878385012.html?spm=a2g0o.productlist.main.1.5dc8WztDWztDHY&algo_pvid=ddbbf2d3-0b3a-4121-a880-9775f7b1d97a&algo_exp_id=ddbbf2d3-0b3a-4121-a880-9775f7b1d97a-0&pdp_ext_f=%7B%22order%22%3A%221338%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.66%213.66%21%21%212.62%212.62%21%40210328df17783571070595472e4caa%2112000030500421185%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=dnKhIt84hhRM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001878385012%7C_p_origin_prod%3A,
"M6x7.5mm, 10mm Heatset Inserts",8,$8.21,Heatset inserts for securely fastening the M6 bolts,https://www.aliexpress.com/item/1005012009793893.html?spm=a2g0o.productlist.main.3.6e47n6bgn6bg0Y&algo_pvid=680bdf32-ca00-4708-86a3-4cb0f9e2b9a1&algo_exp_id=680bdf32-ca00-4708-86a3-4cb0f9e2b9a1-2&pdp_ext_f=%7B%22order%22%3A%22123%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2122.99%2122.99%21%21%21111.93%21111.93%21%40210311cc17783577220482537e6a1c%2112000057269009731%21sea%21CA%213725344934%21X%211%210%21n_tag%3A-29912%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=EhZVAJwp2ZOt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012009793893%7C_p_origin_prod%3A#nav-specification,
"M3x5mm, OD 4.5mm, heatset inserts",1,$0.00,"This is the heatset insert for the bowden extruder, tensioner screw",,DOUBLE CHECK I HAVE
"M3x12mm/0.5"", socket head cap screws",,$32.99,These are the screws for the moving scissor lift carriages,https://www.amazon.ca/Pieces-Screws-Stainless-Washers-Assortment/dp/B09YM913D4/ref=sr_1_5_sspa?crid=2Y5MHC381M9Y9&dib=eyJ2IjoiMSJ9.3wwHstLz_vC9iwjXaA0RJTT9VrepVD85m4sn0k3PYuF_Rww9OSwiggNMwYtusYJn2K11_uJ9XKzg4YJoWOU8St69PcL-8u_NtotG1obD1r5hyONTSCKm3SEWuRBaxNbHCQiRcyUyzTbvmk0c2YO7JalXqZmt4qNhbphsH7ZAOmGFhNfPYE6iRfRobE4oJVREfP9Vqf4yd5o9M1trS-rlhl-iHiAJ55uMerA4jECmB3b_jc0V12LB478TfzVzBfCREjT5Hddvg7na5ZChKmAWJ58M0YdY2U72hLZPUC3iCdQ.Rf_Skxf7NwviBrKu4MeHCJ-QT6m1McxY5sBZd-NJchU&dib_tag=se&keywords=M3+socket+head+cap+screws&qid=1782556519&sprefix=m3+socket+head+cap+screw%2Caps%2C152&sr=8-5-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,
"M3x25mm/1"", socket head cap screws",,,These are the screws for the STATIC scissor lift carriages,,
